Country,Began,Ended,Duration in Days,Dead,Displaced,Main cause,Severity *,Affected sq km,Magnitude (M)**,Longitude of Centroid X,Latitude of Centroid Y
Columbia,01-Nov-14,14-Dec-14,44,44,0,Heavy rain,1,406009.51,7.251988883,-75.544,4.59198
USA,11-Dec-14,14-Dec-14,4,3,0,Torrential rain,1,50235.67,5.303072190,-123.101,39.7967
Brazil,10-Dec-14,14-Dec-14,5,0,0,Torrential rain,1,199807.2,5.999581138,-49.2145,-24.8513
Bulgaria,04-Dec-14,14-Dec-14,11,40,1000,Heavy rain,1.5,147616.57,6.386619054,27.7106,41.4579
Palestine,26-Nov-14,05-Dec-14,10,0,300,Torrential rain,1.5,2861.66,4.632709292,34.4532,31.3378
France,29-Nov-14,05-Dec-14,7,5,3000,Torrential rain,1.5,123269.25,6.112044053,0.863937,43.999
USA,01-Dec-14,05-Dec-14,5,0,40,Torrential rain,1,202666.27,6.005751479,-117.212,35.4299
Morocco,24-Nov-14,05-Dec-14,12,40,0,Heavy rain,2,273693.63,6.817475931,-5.61886,31.5566
Thailand,07-Nov-14,16-Nov-14,10,0,1000,Monsoonal rain,1,31653.08,5.500415975,99.5163,8.02409
Italy,12-Nov-14,16-Nov-14,5,5,0,Torrential rain,1.5,36733.48,5.440123337,10.6129,45.9281
Indonesia,14-Nov-14,16-Nov-14,3,0,2400,Heavy rain,1,57442.62,5.236355495,100.753,-1.02615
France,13-Nov-14,16-Nov-14,4,5,0,Heavy rain,1.5,36709.07,5.342924632,5.09507,44.2452
Greece,25-Oct-14,27-Oct-14,3,0,0,Torrential rain,1,4855.4,4.163346269,23.4176,38.1738
Somalia,24-Oct-14,16-Nov-14,24,0,21000,Heavy rain,1.5,42635.81,6.186077019,45.2538,4.13428
India,22-Oct-14,27-Oct-14,6,5,300,Monsoonal rain,1,115476.31,5.840644148,78.2616,10.2916
Spain,19-Oct-14,22-Oct-14,4,1,0,Torrential rain,1,7566.97,4.480982003,-16.5329,28.2782
India,12-Oct-14,27-Oct-14,16,42,0,Tropical Storm,1.5,376261.49,6.955701013,79.6967,18.4473
Mexico,18-Oct-14,27-Oct-14,10,6,4000,Tropical Storm,1.5,187176.03,6.448341491,-98.4317,21.7845
South Sudan,15-Oct-14,27-Oct-14,13,4,140,Heavy rain,1,388189.52,6.702987159,31.1747,6.69427
USA,21-Oct-14,22-Oct-14,2,0,0,Torrential rain,1,8447.1,4.227737631,-80.4061,26.9326
Nicaragua,15-Oct-14,27-Oct-14,13,24,33000,Torrential rain,1.5,221816.02,6.636027520,-87.5693,13.8455
Nicaragua,09-Oct-14,11-Oct-14,3,1,50,Heavy rain,1.5,79061.87,5.551179596,-85.6393,12.6289
Italy,10-Oct-14,11-Oct-14,2,1,0,Torrential rain,1,6229.19,4.095461573,9.17775,44.6146
Democratic Republic of Congo,04-Oct-14,11-Oct-14,8,4,200,Monsoonal rain,1,781320.47,6.795919190,25.2115,-7.98006
Malaysia,04-Oct-14,11-Oct-14,8,0,100,Torrential rain,1,31695.74,5.404090883,117.183,6.0074
Philippines,19-Sep-14,11-Oct-14,23,5,83000,Tropical Storm,1.5,30855.03,6.027145068,121.612,14.6575
